"Species","cor_iso_1","cor_iso_2","cor_iso_3","cor_iso_4","cor_iso_5","cor_iso_6","cor_iso_7","cor_iso_8","cor_modules_1","cor_modules_2","cor_modules_3","cor_modules_4","cor_modules_5","cor_modules_6","cor_modules_7","cor_modules_8"
"69",0.81222310204017,0.227408700412426,0.205893582060569,0.0387508228604773,0.173946230110753,0.15380877583646,0.0253807296143702,0.248410952268515,0.266904492918614,0.408674970888631,0.157073769966983,0.114807297370027,0.195580100813127,0.061678211257732,0.135972169057075,0.316782273673396
"70",0.739890102814315,0.409188462803051,0.0239138657368731,0.206849816507224,0.0204453742155321,0.0799848137055742,0.0520446479375682,0.233564035898545,0.363850683930656,0.278210398545262,0.0606540138071068,0.0916035879628672,0.0493220645637143,0.0843317043118446,0.131154397033748,0.261438968805086
"71",0.822510281123388,0.0965882028670009,0.168084290507385,0.0749973533259792,0.076722512181054,0.0187739978526989,0.00901133521168988,0.163184535065785,0.261002570401387,0.296411365763979,0.242976287819948,0.190189362559843,0.17964115858566,0.161827822737647,0.211094733027855,0.0900956336083572
"72",0.71734643534206,0.430367995143022,0.0401626471912698,0.19208805170321,0.00383287658986294,0.104107239503903,0.0517327211887791,0.176163310400857,0.373296606800552,0.251775434249885,0.0675291695596929,0.120977944708171,0.0469338400879571,0.0632393452012995,0.105319512164313,0.161776590835159
"73",0.892377954261708,0.144045090616732,0.140783114869294,0.00863380916585101,0.0740531263561852,0.0179134925600368,0.175514437840309,0.0367607976814939,0.187265539015592,0.429706059744171,0.450920898780717,0.0130982989831418,0.0736464996453288,0.0664507263673028,0.280661255756936,0.0628569943861764
"74",0.891150935588332,0.163020131955344,0.130868180539484,0.00812376111645513,0.0954833523778149,0.00940611233696221,0.169147693870996,0.0237463346036708,0.19067368433216,0.455784135477718,0.395781386730022,0.011847184498672,0.141580979006892,0.103209597503516,0.241045273039669,0.109488431085713
"75",0.907870772993875,0.0978865050915857,0.107539045401837,0.049292552101023,0.0680143572372446,0.0368617532786131,0.136742096311356,0.0379743207743637,0.142854485219744,0.456009091495076,0.369945509497264,0.188157373896553,0.110047307008114,0.0959775141467162,0.294647230831323,0.0154916718500655
"76",0.908369025320471,0.127187292296906,0.112210720383559,0.0105695731797385,0.0516232463599239,0.0124854214993125,0.124014181029514,0.0155588445124085,0.144679274606728,0.329467898686885,0.50792847073183,0.0805156980138416,0.205351735891473,0.0909328946346234,0.237640854162873,0.0194045815849067
"77",0.898555836675754,0.187358463744012,0.0702862156623502,0.00647214513436119,0.0469032963484401,0.0557406323412768,0.100136477007747,0.0527532901389412,0.153792410035911,0.406779020790526,0.439272449003496,0.149192500360894,0.212867053421925,0.168780363845788,0.102160861187933,0.106340237581791
"78",0.87939549000627,0.250617270006151,0.0827990455213153,0.0015789833057815,0.0555796829001332,0.0524762993098269,0.0244652997263309,0.0703904314380568,0.186782350169598,0.358308089232753,0.485155142180022,0.0092154402085719,0.246497558242352,0.0843151556225224,0.134812056240695,0.0981851544679605
"79",0.842605842544189,0.233735291077779,0.0963138203561425,0.0240285922575198,0.0394778504865546,0.0417130454344999,0.075713181097206,0.0549478892653235,0.269397524460942,0.411914883348018,0.235465021574405,0.131381997740142,0.0838184434129253,0.279340048821586,0.00267275420062802,0.0108265970694763
"80",0.879952320313089,0.197418545348317,0.0819315791602448,0.00127637590631333,0.103243175365857,0.0063295172591425,0.137974072354127,0.0525639856193576,0.174697548841484,0.635611275021711,0.0986386204797959,0.121760998792845,0.0448613909024596,0.0844406695712461,0.00178709539274686,0.0927547568685304
"81",0.879617103314112,0.149193634387398,0.151733483866525,0.142076485380419,0.0668233779302512,0.0787525787955449,0.0394774308067189,0.0444203283574479,0.178851283318061,0.55708474733424,0.185843211139853,0.292516315726861,0.0889501444218984,0.0793242745099404,0.0841681606719061,0.130703603715925
"82",0.877427309018668,0.20007408706349,0.125875843337965,0.0716831361530338,0.0705639358527077,0.0234472546548673,0.0371316722203852,0.133472968000244,0.1992665731353,0.566817250885647,0.223790846410239,0.0796397001681292,0.0866389478527935,0.194701312436701,0.134862108677538,0.165874126874036
"83",0.848027587878159,0.258247398626156,0.014744203730447,0.081029134089965,0.0114354614338359,0.0342586676122769,0.0597619148115776,0.122665352897353,0.263585383657402,0.480000776290777,0.0683325495400787,0.253688848126223,0.0824445716006369,0.215486513602801,0.130872218557921,0.0785085023969453
"84",0.895857079871925,0.104721803211666,0.141621788359544,0.0487708316865098,0.0635253760333072,0.156906667100837,0.00465757275508646,0.0148954333339419,0.0897624312208331,0.627484795253139,0.120363696950224,0.00752177555172547,0.125929704191747,0.257925328400071,0.0336642680917464,0.0301153351671507
"85",0.868767127593609,0.0354581679695698,0.124001248745163,0.105977608087193,0.18984589360372,0.189188141521436,0.00897511464075924,0.109077978056249,0.153164599368737,0.384699370876777,0.363729532503973,0.310349551033327,0.206609746979312,0.0682875402013045,0.0180522017506415,0.00308575555108301
"86",0.871161487764236,0.00936166214240117,0.150391482272418,0.123327941383268,0.0591061913654177,0.164889469264616,0.154555487790479,0.119597484239152,0.135352808392623,0.116510617793529,0.594357456895158,0.0351618371164503,0.018195710697904,0.204960569923502,0.136374252364543,0.140760091316128
"87",0.868625065429851,0.164334158300183,0.129640705467404,0.143396149760734,0.206788789741894,0.0591127120112003,0.0790893133660076,0.0634842474023932,0.169054350164931,0.514651345009924,0.206832900086644,0.0794629725026317,0.187836666724702,0.0393821700414873,0.081750075605311,0.154729687865498
"88",0.886836247888358,0.15403496935673,0.143748797492423,0.0321558226854405,0.113454713631328,0.158070351676552,0.0111006921081119,0.00137223108523989,0.072433175198176,0.431973200080681,0.044228850219948,0.439925011009774,0.258164555606142,0.0822168256007767,0.0981103192257461,0.117507111485585
"89",0.812449630090963,0.246132467050731,0.176811497479784,0.219360660795919,0.196625206912716,0.0630374931681372,0.0381957810934502,0.0547999307375413,0.0165972965484149,0.303138667378473,0.257149061812222,0.455125478160204,0.0963956955025895,0.220935689155861,0.233692766549805,0.00796844470885886
