"","formula","AICc","R2","deltaAICc","weight"
"1072","normas ~ nmds2 + cvn + social + mating",17.4706429083581,0.407150780568719,29.1536194318702,3.42053923578488e-08
"1073","normas ~ integration + cvn + social + mating",17.5702902754728,0.405410706499203,29.253266798985,3.25429130322275e-08
"1074","normas ~ nmds1 + nmds2 + cvn + mating",17.5834357030162,0.405180775862537,29.2664122265283,3.23297191781674e-08
"1075","normas ~ integration + nmds2 + cvn + mating",17.5858123649104,0.405139195462695,29.2687888884225,3.22913235902078e-08
"1076","normas ~ cvn + social + mating + dominance",17.6142787610236,0.404640941519999,29.2972552845358,3.18349701744429e-08
"1077","normas ~ nmds2 + cvn + mating + dominance",17.6170248318293,0.404592854339002,29.3000013553415,3.17912896276761e-08
"1078","normas ~ nmds1 + cvn + mating + dominance",17.6190883608014,0.404556716774875,29.3020648843135,3.17585054197718e-08
"1079","normas ~ integration + nmds1 + cvn + mating",17.619263182149,0.404553655114144,29.3022397056612,3.17557295087376e-08
"1080","normas ~ cvn + social + mating + aggression",17.6211503200282,0.404520604510094,29.3041268435404,3.17257799206913e-08
"1081","normas ~ nmds2 + cvn + mating + aggression",17.6611114131333,0.403820310478272,29.3440879366455,3.10981723486606e-08
"1082","normas ~ nmds1 + cvn + mating + aggression",17.675969148656,0.403559727659295,29.3589456721682,3.08680041417932e-08
"1083","normas ~ integration + cvn + mating + dominance",17.7081297342796,0.402995288148422,29.3911062577918,3.03756071506925e-08
"1084","normas ~ integration + cvn + mating + aggression",17.7103935499969,0.402955536570638,29.3933700735091,3.03412442137554e-08
"1085","normas ~ clima + cvn + prop + aggression",17.724568337087,0.402706573555088,29.4075448605992,3.01269641160169e-08
"1086","normas ~ cvn + mating + dominance + aggression",17.810809685566,0.401189609573009,29.4937862090782,2.885547975169e-08
"1087","normas ~ clima + cvn + social + prop",17.9336918945555,0.399021483827717,29.6166684180677,2.71359335226795e-08
"1088","normas ~ clima + cvn + aggression",18.0255087913971,0.368158279482175,29.7084853149093,2.59183279526148e-08
"1089","normas ~ nmds2 + clima + cvn + prop",18.0382657642823,0.397170207445177,29.7212422877945,2.57535343746745e-08
"1090","normas ~ clima + cvn + dominance",18.0599643981199,0.36751764640365,29.7429409216321,2.54756363462444e-08
"1091","normas ~ integration + clima + cvn + prop",18.1327523286291,0.395492603480673,29.8157288521413,2.45651456012581e-08
"1092","normas ~ clima + cvn + social",18.1405691472237,0.366016424040586,29.8235456707358,2.44693223380478e-08
"1093","normas ~ integration + cvn + aggression",18.1944268083272,0.365011367263011,29.8774033318394,2.38191851081608e-08
"1094","normas ~ nmds2 + cvn + aggression",18.1987924620497,0.364929828484497,29.8817689855619,2.3767248655857e-08
"1095","normas ~ cvn + social + aggression",18.2962925769184,0.363106055507543,29.9792691004306,2.26363827635414e-08
"1096","normas ~ nmds2 + cvn + social",18.3023890013284,0.362991845980653,29.9853655248406,2.25674873226325e-08
"1097","normas ~ integration + cvn + social",18.3370532990223,0.362342060670465,30.0200298225345,2.21797144491441e-08
"1098","normas ~ cvn + dominance + aggression",18.3529603466195,0.362043659836797,30.0359368701317,2.20040072344313e-08
"1099","normas ~ nmds2 + cvn + dominance",18.4751324359686,0.359747169881918,30.1581089594808,2.07001001643398e-08
"1100","normas ~ cvn + social + dominance",18.5132112622478,0.359029707122716,30.1961877857599,2.0309710592376e-08
