"","formula","AICc","R2","deltaAICc","weight"
"901","normas ~ size + nmds2 + clima + cvn + mating + dominance + integration",43.6420513217253,0.676115709579715,50.4550407770933,3.96980045035598e-12
"902","normas ~ size + nmds1 + nmds2 + cvn + mating + dominance + integration",43.6864333658627,0.674915604411634,50.4994228212308,3.88267677786954e-12
"903","normas ~ nmds2 + clima + cvn + social + mating + dominance + integration",43.7707307221218,0.672623918281525,50.5837201774899,3.72242794526079e-12
"904","normas ~ size + nmds2 + cvn + prop + mating + dominance + integration",43.7790934951831,0.672395691108834,50.5920829505512,3.70689553133308e-12
"905","normas ~ size + nmds1 + cvn + social + prop + mating + integration",43.796064224586,0.671932056337146,50.6090536799541,3.67557424503931e-12
"906","normas ~ size + nmds1 + nmds2 + clima + cvn + prop + dominance",43.8260651493481,0.671110835065437,50.6390546047161,3.62085039947286e-12
"907","normas ~ size + nmds2 + clima + cvn + social + mating + dominance",43.9769469031987,0.666949447157203,50.7899363585667,3.35773969675352e-12
"908","normas ~ nmds1 + nmds2 + clima + cvn + social + mating + dominance",44.0455814870409,0.665039090334567,50.858570942409,3.244465904718e-12
"909","normas ~ size + nmds2 + clima + prop + mating + dominance + integration",44.0875445725525,0.663865707139875,50.9005340279206,3.17710118379014e-12
"910","normas ~ size + nmds1 + clima + cvn + prop + mating + integration",44.182542914488,0.661194129575085,50.9955323698561,3.02971947479846e-12
"911","normas ~ nmds2 + clima + social + prop + mating + dominance + integration",44.1912519969205,0.660948149637222,51.0042414522885,3.01655511963728e-12
"912","normas ~ size + nmds1 + nmds2 + clima + mating + dominance + integration",44.2241247523575,0.660018078922931,51.0371142077256,2.96737912498172e-12
"913","normas ~ size + nmds1 + cvn + social + mating + dominance + integration",44.2364561079959,0.659668529521325,51.0494455633639,2.94913950891031e-12
"914","normas ~ nmds2 + clima + cvn + prop + mating + dominance + integration",44.3767478872464,0.655666371567273,51.1897373426145,2.74935832003353e-12
"915","normas ~ size + clima + cvn + social + mating + dominance + integration",44.3822391025964,0.655508768001397,51.1952285579644,2.74182001407969e-12
"916","normas ~ size + clima + cvn + social + prop + dominance + integration",44.4297796389467,0.654141286177728,51.2427690943147,2.67741471519546e-12
"917","normas ~ size + nmds2 + clima + cvn + social + dominance + integration",44.4721504142746,0.652917935864613,51.2851398696426,2.62128926539554e-12
"918","normas ~ nmds1 + nmds2 + clima + prop + mating + dominance + integration",44.4869869306834,0.652488546414179,51.2999763860514,2.60191581227935e-12
"919","normas ~ size + nmds1 + nmds2 + clima + cvn + prop + integration",44.6822560315423,0.646787432651056,51.4952454869104,2.35988638076122e-12
"920","normas ~ nmds2 + clima + cvn + social + prop + dominance + integration",44.7450819512851,0.644933341310729,51.5580714066531,2.28690760528552e-12
"921","normas ~ size + nmds1 + cvn + prop + mating + dominance + integration",44.7660155046034,0.644313400166551,51.5790049599714,2.26309588749444e-12
"922","normas ~ nmds1 + nmds2 + clima + cvn + mating + dominance + integration",44.8439736526958,0.641995155682631,51.6569631080639,2.17657962119198e-12
"923","normas ~ nmds1 + clima + cvn + prop + mating + dominance + integration",44.8574202724619,0.641593767918776,51.6704097278299,2.16199488570108e-12
"924","normas ~ size + clima + cvn + prop + mating + dominance + integration",44.8581902336758,0.641570770606197,51.6711796890438,2.1611627197919e-12
"925","normas ~ nmds2 + cvn + social + prop + mating + dominance + integration",44.9367139982112,0.639217645625503,51.7497034535792,2.07795552737316e-12
"926","normas ~ size + nmds2 + clima + cvn + prop + dominance + integration",45.1008855728483,0.634247876924428,51.9138750282164,1.91419793783469e-12
"927","normas ~ size + nmds1 + clima + cvn + prop + dominance + integration",45.14305008363,0.632960469850508,51.956039538998,1.87426474794737e-12
"928","normas ~ size + nmds2 + clima + cvn + social + prop + integration",45.2172198230069,0.630684842291403,52.030209278375,1.80603092513641e-12
"929","normas ~ size + nmds2 + clima + cvn + prop + mating + integration",45.2321341715655,0.630225549015523,52.0451236269336,1.79261312937423e-12
"930","normas ~ clima + cvn + social + prop + mating + dominance + integration",45.2830118170632,0.628654449673273,52.0960012724312,1.74758630459786e-12
